step,item,equation_or_rule,input,historical_value,recalculated_value,n_compared,pearson_r,max_abs_diff,verdict,cause_of_difference,action
1 Fire,stage count: raw_archive,filters per Step 1,fire_archive_M-C61_772720.csv,2804373,2804373,,,,EXACT,,
1 Fire,stage count: valid_rows,filters per Step 1,fire_archive_M-C61_772720.csv,2804373,2804373,,,,EXACT,,
1 Fire,stage count: india_bbox,filters per Step 1,fire_archive_M-C61_772720.csv,2801347,2801347,,,,EXACT,,
1 Fire,stage count: india_polygon_state,filters per Step 1,fire_archive_M-C61_772720.csv,1599471,1599471,,,,EXACT,,
1 Fire,stage count: study_period,filters per Step 1,fire_archive_M-C61_772720.csv,1599471,1599471,,,,EXACT,,
1 Fire,stage count: dedup_lon_lat_date,filters per Step 1,fire_archive_M-C61_772720.csv,1599466,1599466,,,,EXACT,,
1 Fire,stage count: forest_filter,filters per Step 1,fire_archive_M-C61_772720.csv,541545,541545,,,,EXACT,,
1 Fire,forest-fire point set,"set comparison on (lat,lon,date,time,satellite)",recalc vs all_forest_fires_2000_2022.csv,541545,541545,,,,EXACT (identical sets),,
1 Fire,F10 rasterisation,round((lat-f)/e) on EDGE origin vs containing pixel,"541,545 points",,,12758064.0,0.7144618669975005,215.0,DEFECT,half-pixel rule: 74.9% of points in neighbouring pixel,v2 containing-pixel label
4 FLDAS,tair anomaly_mean vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4113602.0,1.0,3.725290298461914e-09,EXACT,,
4 FLDAS,tair mk_tau_monthly vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4113602.0,1.0,7.450580596923828e-09,EXACT,,
4 FLDAS,qair anomaly_mean vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4113602.0,0.9999999999999971,7.275957614183426e-12,EXACT,,
4 FLDAS,qair mk_tau_monthly vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4113602.0,0.9999999999999962,7.450580596923828e-09,EXACT,,
4 FLDAS,rh anomaly_mean vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4113602.0,1.0,5.960464477539063e-08,EXACT,,
4 FLDAS,rh mk_tau_monthly vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4113602.0,1.0,1.4901161193847656e-08,EXACT,,
4 FLDAS,wind anomaly_mean vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4113602.0,0.9999999999999928,3.725290298461914e-09,EXACT,,
