biswas_variable,biswas_group,current_feature_v1,current_feature_v2,status_v1,status_v2,data_source_current,spatial_resolution_current,temporal_resolution_current,unit,mathematical_definition_v2,reason_for_difference
NDVI,biophysical,ndvi_mean (+ 8 derived NDVI features),v2_ndvi_mean (+ June climatology, SK tau, Sen slope, CVSI, LISA),B. REPRODUCED WITH DIFFERENT DATA SOURCE,B. REPRODUCED WITH DIFFERENT DATA SOURCE,MOD13A3.061 (Biswas: MOD13C2 v006),1 km (Biswas 0.05 deg -> 0.25 deg),monthly -> whole-period mean,unitless,"mean over 266 months of QA-filtered NDVI (Good+Marginal; VI_Quality substitute for 2007-03/04)",Finer native resolution; C6.1 collection
Air temperature,climatic,fldas_airtemp_anomaly (degenerate) + fldas_airtemp_mk_tau_monthly,v2_tair_level + v2_tair_sk_tau,C. MATHEMATICALLY MODIFIED (level absent),A. DIRECTLY REPRODUCED (level) + D. NEW (trend),FLDAS NOAH01_C_GL_M v001 (same as Biswas),0.1 deg bilinear -> 1 km,monthly -> 2001-2020 annual-mean climatology,K,"mean_m mean_{2001-2020} Tair_f_tavg",Same source; level added in v2
Specific humidity,climatic,fldas_qair_anomaly (degenerate) + fldas_qair_mk_tau_monthly,v2_qair_level + v2_qair_sk_tau,C. MATHEMATICALLY MODIFIED (level absent),A. DIRECTLY REPRODUCED (level) + D. NEW (trend),FLDAS Qair_f_tavg (same as Biswas),0.1 deg -> 1 km,monthly -> climatology,kg/kg,"climatological annual mean of Qair_f_tavg","Per-pixel in both v1 and v2 (the gap document's 'national scalar only' is incorrect)"
LST night,climatic (reported separately),lst_night_anomaly_mean (near-degenerate) + MK tau,v2_lst_night_level + v2_lst_night_sk_tau,C. MATHEMATICALLY MODIFIED,B. REPRODUCED WITH DIFFERENT DATA SOURCE,MOD11A2.061 8-day (Biswas: MOD11C3 v006 monthly 0.05 deg),1 km,8-day -> monthly -> climatology,deg C,"mean of 8-day composites per month (QC bits 0-1 <= 1), 2001-2020 annual mean",Different product: 8-day vs monthly CMG; resolution effect tested (0.05 deg keeps 99.4% of variance; Delta AUC ~0)
LST day,climatic,lst_day_anomaly_mean + MK tau,v2_lst_day_level + v2_lst_day_sk_tau,C. MATHEMATICALLY MODIFIED,B. REPRODUCED WITH DIFFERENT DATA SOURCE,MOD11A2.061 (Biswas MOD11C3),1 km,as above,deg C,as above,as above (98.5% variance retained)
Distance to roads,human activity,access_dist_roads,v2_dist_roads,B. REPRODUCED WITH DIFFERENT DATA SOURCE (class filter unspecified by Biswas),same,Geofabrik OSM 2022 (Biswas: OSM 2022),1 km (Biswas 0.25 deg),static,km,"EDT on 1 km equidistant-conic raster of motorway..tertiary(+links); validated vs geodesic (bias -0.15 km)",Road classes and algorithm not reported by Biswas
Slope,topographic,terrain_slope,v2_slope,B. REPRODUCED WITH DIFFERENT DATA SOURCE (DEM unspecified by Biswas),same,SRTMGL3 90 m (Biswas DEM not reported),90 m -> 1 km mean (Biswas 0.25 deg),static,deg,"Horn (1981), latitude-dependent dx, area-mean of 90 m slope",Scale matters: slope of a 0.25-deg DEM averages 0.29 deg vs 5.72 deg (r=0.70)
Distance to railways,human activity,access_dist_railways,v2_dist_railways,B,B,OSM 2022,1 km,static,km,EDT (all rail classes except subway),Class filter not reported by Biswas
Soil moisture,biophysical,fldas_soilmoisture_anomaly (degenerate) + MK tau,v2_soilm_level + v2_soilm_sk_tau,C,B. REPRODUCED WITH DIFFERENT DATA SOURCE,FLDAS SoilMoi00_10cm (Biswas: GLDAS NOAH025_M v2.1),0.1 deg -> 1 km (Biswas 0.25 deg),monthly -> climatology,kg/m2 (0-10 cm),"theta x 0.1 m x 1000, climatological mean",Different land-surface model forcing/resolution
Precipitation,climatic,fldas_precip_anomaly (degenerate) + MK tau,v2_precip_level + v2_precip_sk_tau,C,B. REPRODUCED WITH DIFFERENT DATA SOURCE,FLDAS Rainf_f_tavg (CHIRPS-based forcing) (Biswas: GPM 3IMERGHHL v06 half-hourly),0.1 deg -> 1 km,monthly -> climatology,mm/month,"Rainf x 86400 x days-in-month, climatological mean","Different product (CHIRPS/FLDAS vs IMERG); not directly equivalent"
