track,config,n_runs,seeds,auc_mean,auc_sd_across_seeds,auc_min,auc_max,auc_sd_across_folds_seed42,ap_mean,prevalence,train_time_mean_sec,best_epoch_mean,c_adv_mean,mean_paired_diff_vs_nophys,min_diff,max_diff
A,nophys,3,"[42, 43, 44]",0.9449933418841526,0.0017813343420957,0.9433378322057884,0.94687827117297,,0.9309893598653716,0.4205856323242187,95.33646670977276,38.333333333333336,0.6931471824645996,,,
A,diff,3,"[42, 43, 44]",0.9242239848863733,0.0045645848994637,0.9189819302020537,0.9273204933736534,,0.9108027746623756,0.4205856323242187,153.2103969256083,5.0,0.6931471824645996,-0.020769356997779334,-0.0243559020037347,-0.0183943911902869
A,diffadv,3,"[42, 43, 44]",0.9394494104350148,0.0012806993468617,0.9386237084924496,0.9409247363676896,,0.921541586275597,0.4205856323242187,413.7765494982402,41.66666666666666,0.5282729466756185,-0.0055439314491376,-0.005964135828794,-0.0047141237133385
A,full,3,"[42, 43, 44]",0.938760310252583,0.0015907231623273,0.9369366313218446,0.9398620090009758,,0.92038659470671,0.4205856323242187,222.3894865512848,40.0,0.5435697635014852,-0.006233031631569467,-0.0073959807380412,-0.0049019132727237
B1,nophys,9,"[42, 43, 44]",0.7235393048994938,0.0102721904848843,0.6982794703651997,0.7403983963053488,0.0077037200352743,0.6424948785215258,0.4075971047083537,78.1686962445577,33.333333333333336,0.6931471824645996,,,
B1,diff,9,"[42, 43, 44]",0.6421152214632656,0.0127098262848318,0.5515615886760685,0.7346086352143033,0.0670651899534295,0.584251319525689,0.4075971047083537,132.56820323732163,10.555555555555555,0.6931471824645996,-0.049764120612985,-0.0575681853866261,-0.0361761880841541
B1,diffadv,9,"[42, 43, 44]",0.7298378805447024,0.0039856606350905,0.6777430854796249,0.7649703305712494,0.0014738524251824,0.6371027469672922,0.4075971047083537,280.9528681702084,52.77777777777778,0.5015645457638634,0.004715760412066533,-0.0310511115861984,0.032066025186897
B1,full,9,"[42, 43, 44]",0.7184702176101783,0.0071703326635536,0.6908492392026109,0.7372034210835732,0.0091287974853039,0.6191671092113985,0.4075971047083537,229.37256911065845,39.44444444444444,0.555545429388682,0.012658348630477134,0.0037289610176313,0.0294770640979674
B2,nophys,18,"[42, 43, 44]",0.6143728796530726,0.0209370061305562,0.4362423993358534,0.8063839412447593,0.1208340427003051,0.523658680971792,0.4259303957223892,54.27204277780321,15.833333333333334,0.6931471824645996,,,
B2,full,18,"[42, 43, 44]",0.570084248127895,0.0071083198196536,0.3785232681340653,0.7466916354556803,0.1005703552956388,0.4888688747090082,0.4259303957223892,197.62537835703955,31.11111111111111,0.5867508318689134,-0.0288516474137651,-0.0488991974855702,0.0036296775432151
B3,nophys,3,"[42, 43, 44]",0.904355219547046,0.0007136228453966,0.903668966325184,0.905093377741632,,0.1541009300061422,0.0246382188051939,142.50587344169617,78.33333333333333,0.6931471824645996,,,
B3,diff,3,"[42, 43, 44]",0.8855229412476197,0.0064146620171451,0.879161716048418,0.891989736932197,,0.136129430721356,0.0246382188051939,150.84832294782004,20.0,0.6931471824645996,-0.018832278299426533,-0.024507250276766,-0.0123135776421251
B3,diffadv,3,"[42, 43, 44]",0.894125131701772,0.0010301533231764,0.8929415890987706,0.8948200342275061,,0.141509121324737,0.0246382188051939,372.8456023534139,70.0,0.4621924956639607,-0.010230087845274032,-0.0107273772264134,-0.009483280346816
B3,full,3,"[42, 43, 44]",0.8934330289299948,0.0031140713149025,0.8898373466601512,0.8952581081824844,,0.1409594780505408,0.0246382188051939,342.6938530604045,66.66666666666667,0.4945880770683288,-0.0109221906170512,-0.0138316196650327,-0.0090452063918377
