EXPERIMENT_ID,DATE,PURPOSE,REFERENCE_BASELINE,DATASET,FEATURE_VERSION,CODE_COMMIT,MODEL,ARCHITECTURE,HYPERPARAMETERS,SEED,TRAIN_SPLIT,VALIDATION_SPLIT,TEST_SPLIT,METRICS,RUNTIME,CHECKPOINT,OUTPUT,STATUS,NOTES
CL0000,2026-09-24T18:25:11,repro,,FEATURE_TABLE_v2.parquet,v1_57,fb0d8aa,RF,,"{""n_estimators"": 200, ""max_depth"": 25, ""min_samples_leaf"": 3, ""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""random_state"": 42}",42,80/20 stratified rs42,,80/20 stratified rs42,"{""all"": {""roc_auc"": 0.9704471015873686, ""ap"": 0.7011235367097762, ""prevalence"": 0.06490611654381989, ""n"": 832202}}",252.81775426864624,not saved (sklearn/elapid models refit deterministically),results/baseline/predictions/repro__RF_v1_histlabel_80_20*.npz,complete,
CL0001,2026-09-24T18:57:29,repro,,FEATURE_TABLE_v2.parquet,v1_57,fb0d8aa,MaxEnt(elapid),,"{""feature_types"": [""linear"", ""hinge"", ""product""], ""beta_multiplier"": 4.0}",42,80/20 stratified rs42,,80/20 stratified rs42,"{""all"": {""roc_auc"": 0.959807125778993, ""ap"": 0.6275323865193543, ""prevalence"": 0.06490611654381989, ""n"": 832202}}",1894.537757396698,not saved (sklearn/elapid models refit deterministically),results/baseline/predictions/repro__MaxEnt_v1_histlabel_80_20_150k*.npz,complete,
CL0002,2026-09-24T19:01:12,trackA,,FEATURE_TABLE_v2.parquet,v2_57,fb0d8aa,RF,,"{""n_estimators"": 200, ""max_depth"": 25, ""min_samples_leaf"": 3, ""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""random_state"": 42}",42,v2 random 65/15/20 stratified rs42,v2 random 15%,v2 random 65/15/20 stratified rs42,"{""all"": {""roc_auc"": 0.9749735084314194, ""ap"": 0.720031563442909, ""prevalence"": 0.06450969411911738, ""n"": 832154}, ""forest"": {""roc_auc"": 0.8970765520860362, ""ap"": 0.7212450297922128, ""prevalence"": 0.22390196726939324, ""n"": 238859}}",162.5016486644745,not saved (sklearn/elapid models refit deterministically),results/baseline/predictions/trackA__RF_v2*.npz,complete,
CL0003,2026-09-24T19:07:28,trackA,,FEATURE_TABLE_v2.parquet,v1_57,fb0d8aa,RF,,"{""n_estimators"": 200, ""max_depth"": 25, ""min_samples_leaf"": 3, ""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""random_state"": 42}",42,v2 random 65/15/20 stratified rs42,v2 random 15%,v2 random 65/15/20 stratified rs42,"{""all"": {""roc_auc"": 0.9753953830039062, ""ap"": 0.7239802067269053, ""prevalence"": 0.06450969411911738, ""n"": 832154}, ""forest"": {""roc_auc"": 0.898123693372619, ""ap"": 0.724803305315416, ""prevalence"": 0.22390196726939324, ""n"": 238859}}",155.32460522651672,not saved (sklearn/elapid models refit deterministically),results/baseline/predictions/trackA__RF_v1_corrlabel*.npz,complete,
CL0004,2026-09-24T19:10:53,trackA,,FEATURE_TABLE_v2.parquet,v1_minus_labelderived,fb0d8aa,RF,,"{""n_estimators"": 200, ""max_depth"": 25, ""min_samples_leaf"": 3, ""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""random_state"": 42}",42,v2 random 65/15/20 stratified rs42,v2 random 15%,v2 random 65/15/20 stratified rs42,"{""all"": {""roc_auc"": 0.9754539976096536, ""ap"": 0.7245985631747756, ""prevalence"": 0.06450969411911738, ""n"": 832154}, ""forest"": {""roc_auc"": 0.8983539237806873, ""ap"": 0.7254320671493236, ""prevalence"": 0.22390196726939324, ""n"": 238859}}",155.29963088035583,not saved (sklearn/elapid models refit deterministically),results/baseline/predictions/trackA__RF_v1_corrlabel_minus_labelderived*.npz,complete,
CL0005,2026-09-24T19:14:32,trackA,,FEATURE_TABLE_v2.parquet,v1_57,fb0d8aa,RF,,"{""n_estimators"": 200, ""max_depth"": 25, ""min_samples_leaf"": 3, ""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""random_state"": 42}",42,v2 random 65/15/20 stratified rs42,v2 random 15%,v2 random 65/15/20 stratified rs42,"{""all"": {""roc_auc"": 0.9699103043246369, ""ap"": 0.6947292356347157, ""prevalence"": 0.06459982166762403, ""n"": 832154}, ""forest"": {""roc_auc"": 0.8867193691239562, ""ap"": 0.7015894967050997, ""prevalence"": 0.2210634725926174, ""n"": 238859}}",162.98003506660461,not saved (sklearn/elapid models refit deterministically),results/baseline/predictions/trackA__RF_v1_histlabel*.npz,complete,
CL0006,2026-09-24T19:17:03,trackA,Biswas-15,FEATURE_TABLE_v2.parquet,biswas15,fb0d8aa,RF,,"{""n_estimators"": 200, ""max_depth"": 25, ""min_samples_leaf"": 3, ""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""random_state"": 42}",42,v2 random 65/15/20 stratified rs42,v2 random 15%,v2 random 65/15/20 stratified rs42,"{""all"": {""roc_auc"": 0.9703848581014018, ""ap"": 0.6919155685194487, ""prevalence"": 0.06450969411911738, ""n"": 832154}, ""forest"": {""roc_auc"": 0.8847624426846665, ""ap"": 0.698030761632246, ""prevalence"": 0.22390196726939324, ""n"": 238859}}",103.03944993019104,not saved (sklearn/elapid models refit deterministically),results/baseline/predictions/trackA__RF_biswas15*.npz,complete,
CL0007,2026-09-24T19:20:20,trackA,,FEATURE_TABLE_v2.parquet,cdr7_static_1km,fb0d8aa,RF,,"{""n_estimators"": 200, ""max_depth"": 25, ""min_samples_leaf"": 3, ""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""random_state"": 42}",42,v2 random 65/15/20 stratified rs42,v2 random 15%,v2 random 65/15/20 stratified rs42,"{""all"": {""roc_auc"": 0.9576357866450098, ""ap"": 0.5467049099610621, ""prevalence"": 0.06450969411911738, ""n"": 832154}, ""forest"": {""roc_auc"": 0.8261018881754104, ""ap"": 0.5478792336952402, ""prevalence"": 0.22390196726939324, ""n"": 238859}}",82.38807582855225,not saved (sklearn/elapid models refit deterministically),results/baseline/predictions/trackA__RF_cdr7static*.npz,complete,
CL0008,2026-09-24T19:23:39,trackA,,FEATURE_TABLE_v2.parquet,v2_minus_landcover,fb0d8aa,RF,,"{""n_estimators"": 200, ""max_depth"": 25, ""min_samples_leaf"": 3, ""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""random_state"": 42}",42,v2 random 65/15/20 stratified rs42,v2 random 15%,v2 random 65/15/20 stratified rs42,"{""all"": {""roc_auc"": 0.9717121959628932, ""ap"": 0.6982573948609476, ""prevalence"": 0.06450969411911738, ""n"": 832154}, ""forest"": {""roc_auc"": 0.8893257222500615, ""ap"": 0.7042238435631463, ""prevalence"": 0.22390196726939324, ""n"": 238859}}",149.159601688385,not saved (sklearn/elapid models refit deterministically),results/baseline/predictions/trackA__RF_v2_minus_landcover*.npz,complete,
CL0009,2026-09-24T19:26:39,trackA,,FEATURE_TABLE_v2.parquet,v2_minus_trends,fb0d8aa,RF,,"{""n_estimators"": 200, ""max_depth"": 25, ""min_samples_leaf"": 3, ""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""random_state"": 42}",42,v2 random 65/15/20 stratified rs42,v2 random 15%,v2 random 65/15/20 stratified rs42,"{""all"": {""roc_auc"": 0.9736256653329022, ""ap"": 0.7073457780254773, ""prevalence"": 0.06450969411911738, ""n"": 832154}, ""forest"": {""roc_auc"": 0.8914622803941674, ""ap"": 0.7085677435966471, ""prevalence"": 0.22390196726939324, ""n"": 238859}}",131.53217673301697,not saved (sklearn/elapid models refit deterministically),results/baseline/predictions/trackA__RF_v2_minus_trends*.npz,complete,
