track,config,seed,test_auc
A,nophys,42,0.9447639222736994
A,nophys,43,0.94687827117297
A,nophys,44,0.9433378322057884
A,diff,42,0.9263695310834124
A,diff,43,0.9273204933736534
A,diff,44,0.9189819302020537
A,diffadv,42,0.9387997864449056
A,diffadv,43,0.9409247363676896
A,diffadv,44,0.9386237084924496
A,full,42,0.9398620090009758
A,full,43,0.9394822904349286
A,full,44,0.9369366313218446
B1,nophys,42,0.7272633323565404
B1,nophys,43,0.7314300657496288
B1,nophys,44,0.7119245165923124
B1,diff,42,0.6539822002471701
B1,diff,43,0.6436597528721251
B1,diff,44,0.6287037112705017
B1,diffadv,42,0.7282700276078135
B1,diffadv,43,0.7268745588796061
B1,diffadv,44,0.734369055146688
B1,full,42,0.712785531156389
B1,full,43,0.7160994115539999
B1,full,44,0.7265257101201458
B2,nophys,42,0.6210821673752095
B2,nophys,43,0.6311328404216541
B2,nophys,44,0.5909036311623541
B2,full,42,0.5764530411205209
B2,full,43,0.5713839421214462
B2,full,44,0.5624157611417179
B3,nophys,42,0.905093377741632
B3,nophys,43,0.904303314574322
B3,nophys,44,0.903668966325184
B3,diff,42,0.8854173707622436
B3,diff,43,0.891989736932197
B3,diff,44,0.879161716048418
B3,diffadv,42,0.8946137717790394
B3,diffadv,43,0.8948200342275061
B3,diffadv,44,0.8929415890987706
B3,full,42,0.8952036319473488
B3,full,43,0.8952581081824844
B3,full,44,0.8898373466601512
