tag,population,n,roc_auc,ap,fit_sec
MaxEnt_v2_n50000_seed42,all,50000.0,0.9634711070731344,0.6319498899158258,149.80831861495972
MaxEnt_v2_n50000_seed42,forest,50000.0,0.852185155929126,0.6338413308307491,149.80831861495972
MaxEnt_v2_n50000_seed43,all,50000.0,0.9641870712229876,0.637120768025689,160.05639028549194
MaxEnt_v2_n50000_seed43,forest,50000.0,0.8559234010161846,0.6391878450428834,160.05639028549194
MaxEnt_v2_n50000_seed44,all,50000.0,0.9643335295905472,0.6356578395604856,151.16416692733765
MaxEnt_v2_n50000_seed44,forest,50000.0,0.85563645413542,0.6376231519030798,151.16416692733765
MaxEnt_v2_n100000_seed42,all,100000.0,0.9659334539204972,0.6529275655009448,517.509268283844
MaxEnt_v2_n100000_seed42,forest,100000.0,0.8615247277917302,0.6547490560619134,517.509268283844
MaxEnt_v2_n100000_seed43,all,100000.0,0.9664001068720138,0.6542099507664052,517.8680572509766
MaxEnt_v2_n100000_seed43,forest,100000.0,0.8635067701530594,0.6560263599811829,517.8680572509766
MaxEnt_v2_n100000_seed44,all,100000.0,0.9665493458254502,0.6550440539643757,486.8511550426483
MaxEnt_v2_n100000_seed44,forest,100000.0,0.8637289694044606,0.6567477230011389,486.8511550426483
MaxEnt_v2_n150000_seed42,all,150000.0,0.967017946040157,0.6625503491169731,1120.2393865585327
MaxEnt_v2_n150000_seed42,forest,150000.0,0.8657422142808162,0.6642872168342202,1120.2393865585327
MaxEnt_v2_n150000_seed43,all,150000.0,0.967437542205116,0.6639592012631754,1131.0525925159454
MaxEnt_v2_n150000_seed43,forest,150000.0,0.8673118635430892,0.665654294340582,1131.0525925159454
MaxEnt_v2_n150000_seed44,all,150000.0,0.9673215026820302,0.6637383578050334,1153.4912769794464
MaxEnt_v2_n150000_seed44,forest,150000.0,0.8669297536716488,0.6654297591055566,1153.4912769794464
MaxEnt_v2_n300000_seed42,all,300000.0,0.968035180108956,0.6708564177080311,3411.1269290447235
MaxEnt_v2_n300000_seed42,forest,300000.0,0.8697249985944354,0.6725388377804064,3411.1269290447235
MaxEnt_v2_n500000_seed42,all,500000.0,0.9685398307156892,0.6756184627901425,7302.929088592529
MaxEnt_v2_n500000_seed42,forest,500000.0,0.87172447186151,0.6773031146931056,7302.929088592529
