path,sha256,size_bytes,config,embedded_test_auc,epochs,best_epoch,seed,n_params,identical_to
Physics_Informed_FireRisk_Model\CDR_PINN_Data\cdr_pinn_cdr_20yr_2001_2020_subset.pt,83d9844e42fce429039c16c0e91ee3080fec67c527f73fccc924ab7f23575204,8428229,cdr_20yr_2001_2020_subset,0.9404090759888397,75,,,1054613,
Physics_Informed_FireRisk_Model\CDR_PINN_Data\cdr_pinn_diffusion_advection.pt,e29328ca1b5319b42c5ea23db4bf96b5058250b936a3102f8079609c3d122ef5,8432801,diffusion_advection,0.9238729395648774,80,,,1054613,
Physics_Informed_FireRisk_Model\CDR_PINN_Data\cdr_pinn_diffusion_only.pt,1be672d3ebd6eae24b619f2368d79899c109997f9da35df32f2f50051c6f3c8a,8432547,diffusion_only,0.6016696712996169,80,,,1054613,
Physics_Informed_FireRisk_Model\CDR_PINN_Data\cdr_pinn_full_cdr.pt,9e4cfd45ddd05ae5d8c2b9000226d909def819bdcc61e77239064443455bfcc1,8427691,full_cdr_standard_protocol,0.9398118308230109,65,,,1054613,Physics_Informed_FireRisk_Model\CDR_PINN_Data\cdr_pinn_full_cdr.pt; Physics_Informed_FireRisk_Model\CDR_PINN_Data\cdr_pinn_full_cdr_standard_protocol.pt
Physics_Informed_FireRisk_Model\CDR_PINN_Data\cdr_pinn_full_cdr_22yr_paired_with_20yr_ablation.pt,67b37a7cf120db68e0d9da56e1347749a240a5943a3fa96e7cdf25c9a810c321,8428441,full_cdr_22yr_paired_with_20yr_ablation,0.9398118308230109,65,,,1054613,
Physics_Informed_FireRisk_Model\CDR_PINN_Data\cdr_pinn_full_cdr_standard_protocol.pt,9e4cfd45ddd05ae5d8c2b9000226d909def819bdcc61e77239064443455bfcc1,8427691,full_cdr_standard_protocol,0.9398118308230109,65,,,1054613,Physics_Informed_FireRisk_Model\CDR_PINN_Data\cdr_pinn_full_cdr.pt; Physics_Informed_FireRisk_Model\CDR_PINN_Data\cdr_pinn_full_cdr_standard_protocol.pt
results\cdr_pino\reproduction\cdr_pinn_full_cdr_standard_protocol.pt,0029419d014e8c8dce245c08f48557886255141717a323f7a01249c7158bc2c5,8427819,full_cdr_standard_protocol,0.9398118308230109,65,,,1054613,
results\cdr_pino\unified\ckpt_A_diff_s42.pt,3e368f8ba1e1e75e5ea7ebf47df5c9029d5759910fbf93d7b85124057046719f,8425395,diff,0.9263695310834125,25,5.0,42.0,1054613,
results\cdr_pino\unified\ckpt_A_diff_s43.pt,53c0a13a17d0a2ee51a39dacd38f3fdbc6ab533297c75bc012384e2a7215bad5,8425395,diff,0.9273204933736534,25,5.0,43.0,1054613,
results\cdr_pino\unified\ckpt_A_diff_s44.pt,25238ac9a49b99f55553a0994cc84c6c2e7102b10338f857b90376c58d5c8dbc,8425395,diff,0.9189819302020535,25,5.0,44.0,1054613,
results\cdr_pino\unified\ckpt_A_diffadv_s42.pt,c7116def62f26b2d43d8d54f11b663f41fd424cff9918e862358d197f34b3944,8425573,diffadv,0.9387997864449055,50,30.0,42.0,1054613,
results\cdr_pino\unified\ckpt_A_diffadv_s43.pt,12ff0c5f6ff2d8c5069d249e5ee565010796635ecccf01afc89c50bfcf6cc0a5,8425573,diffadv,0.9409247363676895,60,40.0,43.0,1054613,
results\cdr_pino\unified\ckpt_A_diffadv_s44.pt,9e8868c14f51d0c672f9996d9b5c5a9250f88ed4c5b8098e8c16d5bbb2ae24b3,8425573,diffadv,0.9386237084924495,75,55.0,44.0,1054613,
results\cdr_pino\unified\ckpt_A_full_s42.pt,9cba47d185ee25ae3d290ee98d62ee7cd73be4227eed4e97aa106bb6b15bb781,8425395,full,0.9398620090009758,50,30.0,42.0,1054613,
results\cdr_pino\unified\ckpt_A_full_s43.pt,42715422fbb9b23d9051fd4633be9791f87d4a31bfc7ee54bcadff16f2cbf37e,8425395,full,0.9394822904349286,55,35.0,43.0,1054613,
results\cdr_pino\unified\ckpt_A_full_s44.pt,3c6d3e43dc4864527b068cc3e5ce375145d681109deffce22f1c49b9292d394e,8425395,full,0.9369366313218446,75,55.0,44.0,1054613,
