result,grid,auc_all,ap_all,auc_forest,ap_forest
RF v2 (55),1 km,0.9749735084314194,0.720031563442909,0.8970765520860362,0.7212450297922128
RF Biswas-15,1 km,0.9703848581014018,0.6919155685194487,0.8847624426846665,0.698030761632246
MaxEnt v2,1 km,0.967017946040157,0.6625503491169731,0.8657422142808162,0.6642872168342202
MaxEnt Biswas-15 (LQHP),1 km,0.9450862820991364,0.5628989688196737,0.8177907858472835,0.5767986518639848
RF v1 historical label (repro split),1 km,0.9704471015873686,0.7011235367097762,,
RF v2 B1,1 km,0.9593519592598948,0.5814967217039709,0.8379859456697362,0.582837364701554
RF v2 B2,1 km,0.9351500598747876,0.4115657975908184,0.7821979123174468,0.4128258734755681
RF Biswas-15 B1,1 km,0.9456208384208629,0.5229426123006327,0.8082843034685882,0.5342126779664166
RF v2 unseen years (static),1 km,0.9646303030902288,0.2822013685673352,0.8721851901251414,0.2823026558303093
Persistence null unseen years (1 km),1 km,0.806777596143096,0.1313287162710351,0.7435086567408757,0.1457398643651863
CDR-PINO nophys A (3 seeds),12 km,0.9449933418841526,0.9309893598653716,0.9095081724531292,0.9506044356866868
CDR-PINO full A (3 seeds),12 km,0.938760310252583,0.92038659470671,0.8974531727579089,0.942095177719327
CDR-PINO nophys B1 (3 seeds),12 km,0.7235393048994938,0.6424948785215258,0.7015922973865389,0.7921281625380676
CDR-PINO full B1 (3 seeds),12 km,0.7184702176101783,0.6191671092113985,0.7011697194700643,0.794157766708921
CDR-PINO nophys B2 (3 seeds),12 km,0.6143728796530726,0.523658680971792,0.6347863451225497,0.729823360497501
CDR-PINO full B2 (3 seeds),12 km,0.570084248127895,0.4888688747090082,0.5689333758674727,0.6731454429776647
CDR-PINO nophys B3 (3 seeds),12 km,0.904355219547046,0.1541009300061422,,
CDR-PINO full B3 (3 seeds),12 km,0.8934330289299948,0.1409594780505408,,
RF_cdr7 A,12 km,0.979991022447516,0.9723920660422,0.9501523028292274,0.9728435294339915
RF on CDR covariates B1,12 km,0.9735729820254391,0.9575704647010196,0.9362277344028894,0.9587076674244588
RF on CDR covariates B2,12 km,0.9590967555637487,0.9256512298503946,0.9156753648241828,0.9268881426139594
null_climatological_frequency B3,12 km,0.908355983224128,0.164916141976242,0.85697400936314,0.1650718063262771
null_seasonal_frequency B3,12 km,0.9298903329251148,0.54557421236631,0.920143145978068,0.547141984846226
RF_monthly_cdr7_month B3,12 km,0.9719702662142942,0.5419849709200654,0.9560588026260344,0.5420697834771407
"Biswas-style reimplementation (0.25 deg, 2020 presences) test AUC",0.25 deg,0.893002428179496,,,
Biswas et al. 2025 REPORTED test AUC (not comparable),0.25 deg,0.879,,,
