tag,track,config,seed,test_auc,test_ap,val_auc,best_epoch,epochs_run,train_time_sec,test_prevalence,c_adv,family,population,roc_auc,ap,train_rows,fit_sec,train_auc,n_train_presence,n_test_presence,n_background
A_nophys_s42,A,nophys,42.0,0.9447639222736994,0.9290896001016082,0.9428044716977148,40.0,60.0,103.51467204093932,0.4205856323242187,0.6931471824645996,CDR-PINO,,,,,,,,,
A_nophys_s43,A,nophys,43.0,0.94687827117297,0.934200811735614,0.943530110649475,40.0,60.0,97.19235253334044,0.4205856323242187,0.6931471824645996,CDR-PINO,,,,,,,,,
A_nophys_s44,A,nophys,44.0,0.9433378322057884,0.929677667758892,0.9396527561904082,35.0,55.0,85.30237555503845,0.4205856323242187,0.6931471824645996,CDR-PINO,,,,,,,,,
A_diff_s42,A,diff,42.0,0.9263695310834124,0.9120553008196906,0.9161846060437516,5.0,25.0,134.00547695159912,0.4205856323242187,0.6931471824645996,CDR-PINO,,,,,,,,,
A_diff_s43,A,diff,43.0,0.9273204933736534,0.9146887539392048,0.9165335024246204,5.0,25.0,190.8164179325104,0.4205856323242187,0.6931471824645996,CDR-PINO,,,,,,,,,
A_diff_s44,A,diff,44.0,0.9189819302020537,0.9056642692282312,0.9105014352617942,5.0,25.0,134.80929589271545,0.4205856323242187,0.6931471824645996,CDR-PINO,,,,,,,,,
A_diffadv_s42,A,diffadv,42.0,0.9387997864449056,0.919796584405778,0.9300867709121248,30.0,50.0,261.260021686554,0.4205856323242187,0.568650484085083,CDR-PINO,,,,,,,,,
A_diffadv_s43,A,diffadv,43.0,0.9409247363676896,0.9243532185157536,0.9346491780459912,40.0,60.0,442.398149728775,0.4205856323242187,0.5273774862289429,CDR-PINO,,,,,,,,,
A_diffadv_s44,A,diffadv,44.0,0.9386237084924496,0.92047495590526,0.932706860791618,55.0,75.0,537.6714770793915,0.4205856323242187,0.4887908697128296,CDR-PINO,,,,,,,,,
A_full_s42,A,full,42.0,0.9398620090009758,0.9232822513258702,0.9342731634800676,30.0,50.0,185.6096270084381,0.4205856323242187,0.5707522630691528,CDR-PINO,,,,,,,,,
A_full_s43,A,full,43.0,0.9394822904349286,0.9196738667484374,0.9339382811948312,35.0,55.0,200.00955605506897,0.4205856323242187,0.5418701171875,CDR-PINO,,,,,,,,,
A_full_s44,A,full,44.0,0.9369366313218446,0.9182036660458224,0.9279566283760322,55.0,75.0,281.5492765903473,0.4205856323242187,0.5180869102478027,CDR-PINO,,,,,,,,,
B1_f0_nophys_s42,B1,nophys,42.0,0.7258430816879411,0.676587970647903,0.6812418246812249,20.0,40.0,63.84309411048889,0.4031406342983246,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f1_nophys_s42,B1,nophys,42.0,0.7186188802230125,0.558299708265886,0.7544614642032352,5.0,25.0,38.6850962638855,0.3305332958698272,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f2_nophys_s42,B1,nophys,42.0,0.7373280351586677,0.7085419190346358,0.6169254185692542,80.0,80.0,124.664541721344,0.4891173839569092,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f0_nophys_s43,B1,nophys,43.0,0.7242279668325201,0.6804829277935869,0.6959723761595222,10.0,30.0,46.12095999717712,0.4031406342983246,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f1_nophys_s43,B1,nophys,43.0,0.7296638341110172,0.5718931064729031,0.7701262796020637,5.0,25.0,37.14377784729004,0.3305332958698272,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f2_nophys_s43,B1,nophys,43.0,0.7403983963053488,0.7190626520320399,0.6683149416539828,80.0,80.0,139.26245284080505,0.4891173839569092,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f0_nophys_s44,B1,nophys,44.0,0.7107810762536624,0.6340577548585862,0.670108101428871,15.0,35.0,56.227365493774414,0.4031406342983246,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f1_nophys_s44,B1,nophys,44.0,0.7267130031580751,0.5704050200615406,0.7616520115688906,5.0,25.0,40.85358262062073,0.3305332958698272,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f2_nophys_s44,B1,nophys,44.0,0.6982794703651997,0.6631228475266507,0.5600665905631659,80.0,80.0,156.71739530563354,0.4891173839569092,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f0_diff_s42,B1,diff,42.0,0.7346086352143033,0.6990840956989133,0.677688057294631,5.0,25.0,109.43243432044984,0.4031406342983246,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f1_diff_s42,B1,diff,42.0,0.6569256937296765,0.525615288843903,0.7115539567052367,5.0,25.0,105.3491144180298,0.3305332958698272,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f2_diff_s42,B1,diff,42.0,0.5704122717975306,0.5777206201082112,0.6586707255200406,35.0,55.0,260.0204758644104,0.4891173839569092,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f0_diff_s43,B1,diff,43.0,0.6716134976538539,0.6145480838574428,0.6358581962875316,5.0,25.0,108.68213725090028,0.4031406342983246,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f1_diff_s43,B1,diff,43.0,0.6835720800982708,0.5517865093898994,0.732212873407598,5.0,25.0,102.85485410690308,0.3305332958698272,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f2_diff_s43,B1,diff,43.0,0.5757936808642506,0.5900509864354033,0.6552289446981229,20.0,40.0,166.77906441688538,0.4891173839569092,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f0_diff_s44,B1,diff,44.0,0.6839930753274834,0.630508169189259,0.6598240496659976,5.0,25.0,110.71431398391724,0.4031406342983246,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f1_diff_s44,B1,diff,44.0,0.6505564698079533,0.5103788438186658,0.7366064073921772,5.0,25.0,106.7128643989563,0.3305332958698272,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f2_diff_s44,B1,diff,44.0,0.5515615886760685,0.5585692783895035,0.5928735413495688,10.0,30.0,122.5685703754425,0.4891173839569092,0.6931471824645996,CDR-PINO,,,,,,,,,
B1_f0_diffadv_s42,B1,diffadv,42.0,0.7303179947984698,0.6397886060461975,0.645187108708025,65.0,80.0,357.3294723033905,0.4031406342983246,0.5461283922195435,CDR-PINO,,,,,,,,,
B1_f1_diffadv_s42,B1,diffadv,42.0,0.7275818032213245,0.572424731576225,0.7528527482533911,20.0,40.0,180.35010814666748,0.3305332958698272,0.6178569793701172,CDR-PINO,,,,,,,,,
B1_f2_diffadv_s42,B1,diffadv,42.0,0.726910284803646,0.6945277992760185,0.5371093353627601,70.0,80.0,355.94062781333923,0.4891173839569092,0.5033133625984192,CDR-PINO,,,,,,,,,
B1_f0_diffadv_s43,B1,diffadv,43.0,0.749396679479879,0.6646456640384396,0.7119498197685449,60.0,80.0,332.43876695632935,0.4031406342983246,0.4332843720912933,CDR-PINO,,,,,,,,,
B1_f1_diffadv_s43,B1,diffadv,43.0,0.7534839116793141,0.6399951751826732,0.7692509960602613,70.0,80.0,315.33221983909607,0.3305332958698272,0.3880299925804138,CDR-PINO,,,,,,,,,
B1_f2_diffadv_s43,B1,diffadv,43.0,0.6777430854796249,0.6213504627322873,0.5948985286656521,80.0,80.0,317.89141058921814,0.4891173839569092,0.3537546992301941,CDR-PINO,,,,,,,,,
B1_f0_diffadv_s44,B1,diffadv,44.0,0.7649703305712494,0.6684305028724186,0.6791855135847586,55.0,75.0,279.8940796852112,0.4031406342983246,0.4925175905227661,CDR-PINO,,,,,,,,,
B1_f1_diffadv_s44,B1,diffadv,44.0,0.7224199537049916,0.5679400966192784,0.7675305964123431,15.0,35.0,143.0104374885559,0.3305332958698272,0.6285443902015686,CDR-PINO,,,,,,,,,
B1_f2_diffadv_s44,B1,diffadv,44.0,0.715716881163823,0.6648216843620913,0.526005834601725,40.0,60.0,246.38869071006772,0.4891173839569092,0.5506511330604553,CDR-PINO,,,,,,,,,
B1_f0_full_s42,B1,full,42.0,0.7013872218603918,0.5952659762192738,0.6594836194070833,70.0,80.0,317.7688698768616,0.4031406342983246,0.4798381924629211,CDR-PINO,,,,,,,,,
B1_f1_full_s42,B1,full,42.0,0.7237345738209194,0.5670811054920237,0.7494055303542171,35.0,55.0,212.9419355392456,0.3305332958698272,0.5856037735939026,CDR-PINO,,,,,,,,,
B1_f2_full_s42,B1,full,42.0,0.7132347977878557,0.6784164350644961,0.4746689497716895,50.0,70.0,277.796443939209,0.4891173839569092,0.5465943813323975,CDR-PINO,,,,,,,,,
B1_f0_full_s43,B1,full,43.0,0.7372034210835732,0.6713525630327223,0.6977790592017893,50.0,70.0,277.9146122932434,0.4031406342983246,0.5016539692878723,CDR-PINO,,,,,,,,,
B1_f1_full_s43,B1,full,43.0,0.7202455743758154,0.559584298812299,0.7551418361570195,10.0,30.0,117.9186441898346,0.3305332958698272,0.6496729850769043,CDR-PINO,,,,,,,,,
B1_f2_full_s43,B1,full,43.0,0.6908492392026109,0.6386103686532189,0.4938489345509894,20.0,40.0,161.21044325828552,0.4891173839569092,0.6051098108291626,CDR-PINO,,,,,,,,,
B1_f0_full_s44,B1,full,44.0,0.7295571877386425,0.6319250785779005,0.6918266782494085,35.0,55.0,218.3038625717163,0.4031406342983246,0.545648455619812,CDR-PINO,,,,,,,,,
B1_f1_full_s44,B1,full,44.0,0.7367348402880773,0.5929225432914426,0.785071355613304,40.0,60.0,229.968786239624,0.3305332958698272,0.5474231243133545,CDR-PINO,,,,,,,,,
B1_f2_full_s44,B1,full,44.0,0.7132851023337171,0.63734561375921,0.5114732369355657,45.0,65.0,250.52952408790588,0.4891173839569092,0.5383641719818115,CDR-PINO,,,,,,,,,
B2_r0_nophys_s42,B2,nophys,42.0,0.5071234268974383,0.2498498117994367,0.7880448774243841,5.0,25.0,37.72925162315369,0.1847461462020874,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r1_nophys_s42,B2,nophys,42.0,0.6171698101127031,0.6031229793367583,0.8091165786725885,30.0,50.0,78.59744024276733,0.50210040807724,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r2_nophys_s42,B2,nophys,42.0,0.4904056561104675,0.472293045483399,0.7882927637025997,10.0,30.0,46.67142367362976,0.45579794049263,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r3_nophys_s42,B2,nophys,42.0,0.8007798845193509,0.8745693520756217,0.7614482929677935,35.0,55.0,86.6229796409607,0.666388988494873,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r4_nophys_s42,B2,nophys,42.0,0.7624311990707328,0.4762956318050523,0.7169979891995131,10.0,30.0,48.21476364135742,0.2615030705928802,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r5_nophys_s42,B2,nophys,42.0,0.5485830275405643,0.5349213800249741,0.7974013556176659,10.0,30.0,47.03874635696411,0.4850458204746246,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r0_nophys_s43,B2,nophys,43.0,0.5617408503472534,0.2733513679863079,0.8026240252537769,5.0,25.0,39.432703256607056,0.1847461462020874,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r1_nophys_s43,B2,nophys,43.0,0.6289326422714125,0.6145921249804387,0.8322122945709279,5.0,25.0,38.12533354759216,0.50210040807724,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r2_nophys_s43,B2,nophys,43.0,0.4475216136967245,0.4307665794490932,0.8177330544736523,10.0,30.0,48.007346868515015,0.45579794049263,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r3_nophys_s43,B2,nophys,43.0,0.7718250624219726,0.8488550050624806,0.8129432412576214,5.0,25.0,37.67744851112366,0.666388988494873,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r4_nophys_s43,B2,nophys,43.0,0.8063839412447593,0.4723529531086521,0.742352064937423,5.0,25.0,39.47585654258728,0.2615030705928802,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r5_nophys_s43,B2,nophys,43.0,0.5703929325478021,0.5502390286009442,0.8608119137066751,80.0,80.0,124.1799383163452,0.4850458204746246,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r0_nophys_s44,B2,nophys,44.0,0.488141571757391,0.2371856766129773,0.8161399448054838,5.0,25.0,39.32602763175965,0.1847461462020874,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r1_nophys_s44,B2,nophys,44.0,0.5725839110412508,0.549301384581061,0.8494572621519398,5.0,25.0,39.628578901290894,0.50210040807724,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r2_nophys_s44,B2,nophys,44.0,0.4362423993358534,0.4226772780792195,0.8060651980613408,10.0,30.0,46.43256521224976,0.45579794049263,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r3_nophys_s44,B2,nophys,44.0,0.7407131710362047,0.8241173325643962,0.7974945526928849,5.0,25.0,39.75754261016846,0.666388988494873,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r4_nophys_s44,B2,nophys,44.0,0.7789929915846909,0.4673357138276901,0.7182461650201416,30.0,50.0,77.52203965187073,0.2615030705928802,0.6931471824645996,CDR-PINO,,,,,,,,,
B2_r5_nophys_s44,B2,nophys,44.0,0.5287477422187338,0.5240296121137518,0.8332066213662543,20.0,40.0,62.45678377151489,0.4850458204746246,0.6931471824645996,CDR-PINO,,,,,,,,,
