factor,population,baseline_auc,variant_auc,delta_variant_minus_baseline,ci95,test,variant_auc_sd_seeds,fit_sec,n_seeds,value,note
LST level at 0.05 deg (MOD11C3-resolution proxy),all,0.9749735078930122,0.97504410196255,7.059406953779934e-05,"[0.0000, 0.0001]","paired DeLong, identical test pixels",,,,,
LST level at 0.05 deg (MOD11C3-resolution proxy),forest,0.8970765508252185,0.8972891671559441,0.0002126163307255,"[0.0000, 0.0004]","paired DeLong, identical test pixels",,,,,
Slope: Zevenbergen-Thorne vs Horn,all,0.9749735078930122,0.9749776017137968,4.09382078447873e-06,"[-0.0001, 0.0001]","paired DeLong, identical test pixels",,,,,
Slope: Zevenbergen-Thorne vs Horn,forest,0.8970765508252185,0.8971050301757162,2.84793504976566e-05,"[-0.0001, 0.0002]","paired DeLong, identical test pixels",,,,,
Slope from 0.25 deg DEM,all,0.9749735078930122,0.9750530265878165,7.95186948041593e-05,"[0.0000, 0.0001]","paired DeLong, identical test pixels",,,,,
Slope from 0.25 deg DEM,forest,0.8970765508252185,0.8975567823221795,0.0004802314969609,"[0.0003, 0.0007]","paired DeLong, identical test pixels",,,,,
Remove Seasonal-Kendall/Sen trend group,all,0.9749735078930122,0.9736256654046896,-0.0013478424883225,"[-0.0014, -0.0013]","paired DeLong, identical test pixels",,,,,
Remove Seasonal-Kendall/Sen trend group,forest,0.8970765508252185,0.8914622807471964,-0.0056142700780221,"[-0.0059, -0.0053]","paired DeLong, identical test pixels",,,,,
Remove land-cover group,all,0.9749735078930122,0.9717121962859374,-0.0032613116070747,"[-0.0035, -0.0031]","paired DeLong, identical test pixels",,,,,
Remove land-cover group,forest,0.8970765508252185,0.8893257231578502,-0.0077508276673683,"[-0.0083, -0.0072]","paired DeLong, identical test pixels",,,,,
Remove terrain group,all,0.9749735078930122,0.9750764145645058,0.0001029066714935,"[0.0000, 0.0002]","paired DeLong, identical test pixels",,,,,
Remove terrain group,forest,0.8970765508252185,0.8976858314531672,0.0006092806279486,"[0.0004, 0.0008]","paired DeLong, identical test pixels",,,,,
Label filter: FIRMS confidence >= 30,all,0.9749735084314194,0.9747192936117234,-0.0002542148196960081,,unpaired (different target labels),,,,,
Label filter: FIRMS confidence >= 30,forest,0.8970765520860362,0.8966032319639378,-0.00047332012209844176,,unpaired (different target labels),,,,,
Label filter: FIRMS type == 0,all,0.9749735084314194,0.975039999892929,6.649146150961016e-05,,unpaired (different target labels),,,,,
Label filter: FIRMS type == 0,forest,0.8970765520860362,0.8973138267973337,0.00023727471129753042,,unpaired (different target labels),,,,,
Label filter: confidence >= 30 and type == 0,all,0.9749735084314194,0.9747002245749032,-0.00027328385651614884,,unpaired (different target labels),,,,,
Label filter: confidence >= 30 and type == 0,forest,0.8970765520860362,0.8965277297872495,-0.000548822298786722,,unpaired (different target labels),,,,,
"MaxEnt training rows = 50,000",all,,0.9639972359622231,,,,0.0004614880489322509,153.67629194259644,3.0,,
"MaxEnt training rows = 100,000",all,,0.966294302205987,,,,0.0003212890912580307,507.40949352582294,3.0,,
"MaxEnt training rows = 150,000",all,,0.9672589969757678,,,,0.00021666900539441485,1134.9277520179749,3.0,,
"MaxEnt training rows = 300,000",all,,0.968035180108956,,,,,3411.1269290447235,1.0,,
"MaxEnt training rows = 500,000",all,,0.9685398307156892,,,,,7302.929088592529,1.0,,
"MaxEnt training rows = 50,000",forest,,0.8545816703602435,,,,0.0020803955614284012,153.67629194259644,3.0,,
"MaxEnt training rows = 100,000",forest,,0.8629201557830833,,,,0.00121357224182161,507.40949352582294,3.0,,
"MaxEnt training rows = 150,000",forest,,0.8666612771651847,,,,0.0008185410359480449,1134.9277520179749,3.0,,
"MaxEnt training rows = 300,000",forest,,0.8697249985944354,,,,,3411.1269290447235,1.0,,
"MaxEnt training rows = 500,000",forest,,0.87172447186151,,,,,7302.929088592529,1.0,,
NDVI QA Good-only vs Good+Marginal (F1 correlation),,,,,,,,,,0.9894465915552662,pixel-months lost: 0.397 vs 0.082
NDVI 2007-03/04 QA gap fix (F1 correlation hist vs v2),,,,,,,,,,0.9999963914162693,max abs change 0.143
CVSI k* under historical / corrected / training-only labels,,,,,,,,,,"{'hist': 8, 'corr': 8, 'corr_trainonly': 8}",
theta* under historical / corrected / training-only labels,,,,,,,,,,"{'hist_labels': 0.5348191109970344, 'corrected_labels': 0.5239074519044674, 'corrected_trainonly': 0.5369759482268668}",
LST day level spatial variance retained at 0.05 deg,,,,,,,,,,0.9853009581565857,
LST night level spatial variance retained at 0.05 deg,,,,,,,,,,0.9939446449279785,
Slope single-feature AUC Horn / ZT / 1 km DEM / 0.25 deg DEM,,,,,,,,,,0.8004 / 0.8005 / 0.7824 / 0.7354,
"B3 terminal-label leakage (full CDR, leaky - leak-free, mean of 3 seeds)",,,,,,,,,,0.000628732568930368,
Boundary: points in state vs country vs GADM polygon,,,,,,,,,,"{'state': 1599471, 'country': 1599210, 'gadm': 1598000}","{'state_not_country': 267, 'country_not_state': 6, 'state_not_gadm': 5120, 'gadm_not_state': 3649}"
