experiment,model_A,model_B,population,n_pixels,n_blocks,pooled_auc_A,pooled_auc_B,pooled_diff,blockboot_ci95_lo,blockboot_ci95_hi,blockboot_p,per_unit_auc_diff,n_units_A_better
B1,RF_v2,RF_biswas15,all,4160767,116,0.9605299024140764,0.9469717126161666,0.0135581897979097,0.0105454634231569,0.0175417552733781,0.0,"[0.011326452464567871, 0.01084779377458589, 0.019019136719398033]",3
B1,RF_v2,RF_biswas15,forest,1197538,116,0.8385038154309281,0.8089174210369773,0.0295863943939508,0.0221525381479488,0.0393837281880115,0.0,"[0.02829550779505574, 0.025878674002141944, 0.03493074356097703]",3
B1,RF_v2,MaxEnt_v2,all,4160767,116,0.9605299024140764,0.9572234715476904,0.003306430866386,0.0012078038548988,0.0065502551371976,0.0066666666666666,"[0.002574437584125344, 0.005301976365617689, 0.000926704461393757]",3
B1,RF_v2,MaxEnt_v2,forest,1197538,116,0.8385038154309281,0.8286856484043545,0.0098181670265735,-0.0011155374199113,0.0219827031672453,0.1066666666666666,"[0.008453476765916013, 0.02254939837740355, -0.0023880464965666537]",2
B1,RF_v2,RF_cdr7static,all,4160767,116,0.9605299024140764,0.948370889108742,0.0121590133053343,0.0077539614857036,0.0165307100429516,0.0,"[0.009293419238462719, 0.013468394078085755, 0.009473402493702876]",3
B1,RF_v2,RF_cdr7static,forest,1197538,116,0.8385038154309281,0.7891366433456574,0.0493671720852707,0.0313745850769654,0.065580298962443,0.0,"[0.0402002481099758, 0.062356326951311436, 0.03186733417641352]",3
B1,RF_biswas15,MaxEnt_biswas15_LQHP,all,4160767,116,0.9469717126161666,0.9330654677992972,0.0139062448168694,0.0081354728040451,0.0213074471061576,0.0,"[0.01264096906606993, 0.015349886112347, 0.01250082206004477]",3
B1,RF_biswas15,MaxEnt_biswas15_LQHP,forest,1197538,116,0.8089174210369773,0.7890079576000038,0.0199094634369735,0.0092083862148349,0.0336100359406237,0.0,"[0.024284134543058333, 0.025357314256482577, 0.014078920683313623]",3
B1,RF_v2,RF_v1_corrlabel,all,4160767,116,0.9605299024140764,0.9610688298545552,-0.0005389274404787,-0.0021416279506268,0.0005373410791737,0.16,"[0.0010690048892693094, -0.0014843061164681037, -0.0005768338116283189]",1
B1,RF_v2,RF_v1_corrlabel,forest,1197538,116,0.8385038154309281,0.8392848413666327,-0.0007810259357046,-0.0056584576898273,0.0045864854761834,0.72,"[0.005973220261866974, -0.005569516281730191, -0.0004245087835267336]",1
B2,RF_v2,RF_biswas15,all,4160768,119,0.9314844648878564,0.9009048671480858,0.0305795977397707,0.0223104133710609,0.038642483429318,0.0,"[0.07773266955365521, 0.016464847882184053, 0.04682214272268426, 0.074287456090263, 0.023327189640557466, 0.03582275522799083]",6
B2,RF_v2,RF_biswas15,forest,1197538,115,0.7180842226981685,0.6731645992939848,0.0449196234041837,0.0279377559496129,0.0639878011082635,0.0,"[0.08643628235713086, 0.030090483829518844, 0.09639913219122409, 0.07520913907687476, 0.038592684489842766, 0.0745226466433293]",6
B2,RF_v2,MaxEnt_v2,all,4160768,119,0.9314844648878564,0.914815975895496,0.0166684889923606,-0.0008232919700245,0.0401660535443553,0.06,"[0.003672086928009688, -0.0011987877529454627, 0.03310939630001697, 0.09524190221257811, 0.06863459311649711, 0.00563186141004679]",5
B2,RF_v2,MaxEnt_v2,forest,1197538,115,0.7180842226981685,0.7134376978607523,0.0046465248374162,-0.0521915056882173,0.0636012969979619,0.7933333333333333,"[0.029816511532240852, -0.006436689277306562, 0.08682795017387757, 0.1254853315732416, 0.05338722263074802, 0.022596897503514124]",5
B2,RF_v2,RF_cdr7static,all,4160768,119,0.9314844648878564,0.9274499198411666,0.0040345450466898,-0.0004523375819848,0.009631770981749,0.1066666666666666,"[0.0036651758060848305, 0.0022025187242553645, 0.027940371373869288, 0.02989768885629218, 0.0019818849010690975, 0.006516017259482698]",6
B2,RF_v2,RF_cdr7static,forest,1197538,115,0.7180842226981685,0.7077273597378706,0.0103568629602979,-0.0072472546521185,0.0317977316138284,0.2866666666666667,"[0.02497030232432995, 0.007765744512914008, 0.08884429486832313, 0.042903862736887066, 0.0034441163752324533, 0.028449901247916687]",6
B2,RF_biswas15,MaxEnt_biswas15_LQHP,all,4160768,119,0.9009048671480858,0.8598683831219089,0.0410364840261768,0.0218800683355378,0.0600226827832054,0.0,"[-0.019613077845372917, 0.013148129948145293, 0.04039575356993408, 0.1300027187061622, 0.02448335219630804, 0.012716253725344795]",5
B2,RF_biswas15,MaxEnt_biswas15_LQHP,forest,1197538,115,0.6731645992939848,0.6205129393530192,0.0526516599409655,0.0255214330575716,0.0810541503837399,0.0,"[-0.05525260436050139, 0.01574282925912618, 0.11588920525817048, 0.170882471156643, 0.007655037952484012, -0.0023868465171213993]",4
