track,cdr,classical,delong_auc1,delong_auc2,delong_diff,delong_se,delong_ci95,delong_z,delong_p
A,A_full_s42,RF_cdr7,0.9398620090009756,0.9799910224475158,-0.04012901344654,0.0031487103275827,"[-0.04630048568860234, -0.03395754120447781]",-12.74458723465567,3.341546902712948e-37
A,A_nophys_s42,RF_cdr7,0.9447639222736994,0.9799910224475158,-0.0352271001738163,0.0029693034238559,"[-0.041046934884574025, -0.029407265463058694]",-11.863758984950843,1.8258978429048163e-32
A,A_full_s43,RF_cdr7,0.9394822904349288,0.9799910224475158,-0.040508732012587,0.0031789027823361,"[-0.046739381465965874, -0.034278082559208306]",-12.742991776180713,3.4106051193169066e-37
A,A_nophys_s43,RF_cdr7,0.94687827117297,0.9799910224475158,-0.0331127512745458,0.002881134728744,"[-0.03875977534288411, -0.02746572720620754]",-11.492954822345537,1.4313090401591e-30
A,A_full_s44,RF_cdr7,0.9369366313218448,0.9799910224475158,-0.0430543911256711,0.0031313095691512,"[-0.049191757881207596, -0.036917024370134624]",-13.749643775189194,5.118090475293925e-43
A,A_nophys_s44,RF_cdr7,0.9433378322057884,0.9799910224475158,-0.0366531902417275,0.003055632552284,"[-0.04264223004420434, -0.03066415043925072]",-11.9952872652601,3.761100073821298e-33
A,A_full_s42,MaxEnt_cdr7,0.9398620090009756,0.9584415647353016,-0.0185795557343257,0.0034579380741243,"[-0.025357114359609488, -0.011801997109042098]",-5.373015749864393,7.743056271526671e-08
A,A_nophys_s42,MaxEnt_cdr7,0.9447639222736994,0.9584415647353016,-0.013677642461602,0.0032398802095914,"[-0.02002780767240139, -0.00732747725080277]",-4.221650671253271,2.4251975999623987e-05
A,A_full_s43,MaxEnt_cdr7,0.9394822904349288,0.9584415647353016,-0.0189592743003728,0.0034719156128945,"[-0.02576422890164605, -0.012154319699099567]",-5.460753202053376,4.74118761539686e-08
A,A_nophys_s43,MaxEnt_cdr7,0.94687827117297,0.9584415647353016,-0.0115632935623315,0.0031132162876644,"[-0.017665197486153906, -0.005461389638509183]",-3.7142596253748583,0.0002037994814361
A,A_full_s44,MaxEnt_cdr7,0.9369366313218448,0.9584415647353016,-0.0215049334134568,0.0034735667851046,"[-0.02831312431226198, -0.014696742514651678]",-6.191023447619944,5.977481562659394e-10
A,A_nophys_s44,MaxEnt_cdr7,0.9433378322057884,0.9584415647353016,-0.0151037325295132,0.0033132636036978,"[-0.021597729192761077, -0.008609735866265417]",-4.558566518117137,5.150395249680917e-06
A,A_full_s42,LogReg_cdr7,0.9398620090009756,0.9237086741814798,0.0161533348194958,0.0043404128657645,"[0.007646125602597311, 0.02466054403639445]",3.721612509931224,0.0001979546298446
A,A_nophys_s42,LogReg_cdr7,0.9447639222736994,0.9237086741814798,0.0210552480922195,0.0043076083358361,"[0.012612335753980809, 0.029498160430458373]",4.887920732499171,1.0190654334448695e-06
A,A_full_s43,LogReg_cdr7,0.9394822904349288,0.9237086741814798,0.0157736162534488,0.0043439936194382,"[0.007259388759349965, 0.024287843747547763]",3.631132463654213,0.0002821802979648
A,A_nophys_s43,LogReg_cdr7,0.94687827117297,0.9237086741814798,0.0231695969914901,0.004231388946542,"[0.01487607465626771, 0.031463119326712544]",5.475648134503127,4.3591311865119066e-08
A,A_full_s44,LogReg_cdr7,0.9369366313218448,0.9237086741814798,0.0132279571403648,0.0042924344140551,"[0.004814785688816809, 0.021641128591912875]",3.081691148745641,0.0020582827677012
A,A_nophys_s44,LogReg_cdr7,0.9433378322057884,0.9237086741814798,0.0196291580243084,0.0042978102272925,"[0.01120544997881506, 0.02805286606980179]",4.567246338532284,4.941731370352316e-06
A,A_full_s42,RF_v2agg,0.9398620090009756,0.9808429408895006,-0.0409809318885249,0.0032148987801861,"[-0.047282133497689845, -0.03467973027935999]",-12.74719196171755,3.231777722340885e-37
A,A_nophys_s42,RF_v2agg,0.9447639222736994,0.9808429408895006,-0.0360790186158012,0.0030141440108372,"[-0.04198674087704213, -0.030171296354560284]",-11.969905381455195,5.1086851259358385e-33
A,A_full_s43,RF_v2agg,0.9394822904349288,0.9808429408895006,-0.0413606504545719,0.003231430628312,"[-0.04769425448606352, -0.03502704642308035]",-12.799485804272711,1.650404014060419e-37
A,A_nophys_s43,RF_v2agg,0.94687827117297,0.9808429408895006,-0.0339646697165306,0.0029589948316195,"[-0.03976429958650494, -0.028165039846556404]",-11.478448476350003,1.6929109998961324e-30
A,A_full_s44,RF_v2agg,0.9369366313218448,0.9808429408895006,-0.0439063095676559,0.0032023312395546,"[-0.05018287879718298, -0.03762974033812893]",-13.710733301206728,8.756832030647536e-43
A,A_nophys_s44,RF_v2agg,0.9433378322057884,0.9808429408895006,-0.0375051086837123,0.0030828252647405,"[-0.04354744620260387, -0.03146277116482088]",-12.165823704856876,4.7265331419104546e-34
A,A_full_s42,MaxEnt_v2agg,0.9398620090009756,0.9662690576114136,-0.0264070486104379,0.0033184490080803,"[-0.03291120866627553, -0.0199028885546004]",-7.957647848780279,1.7534054400389625e-15
A,A_nophys_s42,MaxEnt_v2agg,0.9447639222736994,0.9662690576114136,-0.0215051353377142,0.0031692729285783,"[-0.02771691027772772, -0.015293360397700786]",-6.785510690416055,1.1567658458608128e-11
A,A_full_s43,MaxEnt_v2agg,0.9394822904349288,0.9662690576114136,-0.0267867671764849,0.0033395541815394,"[-0.03333229337230231, -0.020241240980667652]",-8.021060812415666,1.0483580707614972e-15
A,A_nophys_s43,MaxEnt_v2agg,0.94687827117297,0.9662690576114136,-0.0193907864384437,0.003101176591853,"[-0.025469092558475737, -0.013312480318411701]",-6.252719206440608,4.0336699077545634e-10
A,A_full_s44,MaxEnt_v2agg,0.9369366313218448,0.9662690576114136,-0.029332426289569,0.0033269304531063,"[-0.03585320997765737, -0.022811642601480633]",-8.816663498986493,1.1792095836721493e-18
